Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,066062,2018,06,07,19.5,1,Y
IDCJAC0010,066062,2018,06,08,17.0,1,Y
IDCJAC0010,066062,2018,06,09,15.5,1,Y
IDCJAC0010,066062,2018,06,10,17.1,1,Y
IDCJAC0010,066062,2018,06,11,18.9,1,Y
IDCJAC0010,066062,2018,06,12,18.2,1,Y
IDCJAC0010,066062,2018,06,13,19.7,1,Y
IDCJAC0010,066062,2018,06,14,19.7,1,Y
IDCJAC0010,066062,2018,06,15,20.1,1,Y
IDCJAC0010,066062,2018,06,16,18.1,1,Y
IDCJAC0010,066062,2018,06,17,15.8,1,Y
IDCJAC0010,066062,2018,06,18,16.4,1,Y
IDCJAC0010,066062,2018,06,19,14.7,1,Y
IDCJAC0010,066062,2018,06,20,18.0,1,Y
IDCJAC0010,066062,2018,06,21,16.1,1,Y
IDCJAC0010,066062,2018,06,22,19.2,1,Y
IDCJAC0010,066062,2018,06,23,20.0,1,Y
IDCJAC0010,066062,2018,06,24,17.4,1,Y
IDCJAC0010,066062,2018,06,25,18.4,1,Y
IDCJAC0010,066062,2018,06,26,18.5,1,Y
IDCJAC0010,066062,2018,06,27,16.7,1,Y
IDCJAC0010,066062,2018,06,28,20.3,1,Y
IDCJAC0010,066062,2018,06,29,15.4,1,Y
IDCJAC0010,066062,2018,06,30,19.5,1,Y
IDCJAC0010,066062,2018,07,01,19.1,1,N
IDCJAC0010,066062,2018,07,02,17.4,1,N
IDCJAC0010,066062,2018,07,03,19.1,1,N
IDCJAC0010,066062,2018,07,04,18.9,1,N
IDCJAC0010,066062,2018,07,05,25.2,1,N
IDCJAC0010,066062,2018,07,06,24.8,1,N
IDCJAC0010,066062,2018,07,07,17.5,1,N
IDCJAC0010,066062,2018,07,08,18.2,1,N
IDCJAC0010,066062,2018,07,09,17.2,1,N
IDCJAC0010,066062,2018,07,10,18.5,1,N
IDCJAC0010,066062,2018,07,11,16.2,1,N
